俠	xie3
俠	gia3
信	sn2
信	šen-
侻	tuo3
俁	y1
俌	fu1
俔	kian2
俔	xian2
俛	mian1
俛	fu1
俇	kuaŋ+
俇	guaŋ2
俙	xi-
俙	xi1
俖	pei1
俖	pei2
俈	ku3
侹	tiŋ1
侹	tiŋ2
俓	iŋ2
俓	iŋ+
俓	giŋ2
俋	i3
侳	cuo2
俍	liaŋ+
侷	gy3
俐	li2
修	su-
俯	fu1
俱	gy-
俳	pai+
俸	fuŋ2
俺	an2
俾	bi1
俾	bi2
倀	čaŋ-
倀	žeŋ2
倂	biŋ2
倅	cui2
倅	zu3
倆	liaŋ1
倆	lia1
倉	caŋ-
倌	guan-
倌	guan2
倍	bei2
倍	pei+
倐	šu3
倒	dau1
倒	dau2
倔	gye3
倕	čui+
倖	xiŋ2
候	xeu2
倚	i1
倜	ti3
借	ze2
借	zo3
倢	ze3
倣	faŋ1
値	ž3
値	ž2
倦	gyan2
倨	gy2
倩	can2
倩	cŋ2
倪	ŋi+
倫	lun+
倭	uo-
倭	ui-
倮	xuo1
倮	luo1
倮	guo1
倱	xun2
俴	zan2
俶	ču3
俶	ti3
倓	tan+
倓	dan2
倘	taŋ1
倘	čaŋ+
倛	ki2
倛	ki-
倞	liaŋ2
倞	giŋ2
倡	čaŋ-
倡	čaŋ2
倥	kuŋ-
倥	kuŋ1
倥	kuŋ2
倬	žuo3
倳	z2
倠	xui-
倯	suŋ-
倗	peŋ+
倰	liŋ+
倰	leŋ+
倰	leŋ2
倄	xiau+
倄	ui2
俷	fei2
俵	biau2
們	men+
們	men2
倧	zuŋ-
倏	šu3
偁	čeŋ-
偁	čeŋ2
偃	ian1
假	gia1
假	gia2
偈	gie3
偈	gi2
偉	ui1
偏	pian-
偕	giai-
停	tiŋ+
健	gian2
偲	s-
偲	cai-
側	zə3
偵	žeŋ-
偵	žeŋ2
偶	ŋeu1
偶	ŋeu2
偸	teu-
偄	nuan2
偄	ruan1
偊	y1
偎	ui-
偓	uo3
偝	bei2
偟	xuaŋ+
偠	iau1
偩	fu2
偪	bi3
偪	fu3
偭	mian2
偭	mian1
偯	i1
偆	čun1
偒	taŋ1
偒	daŋ2
偞	ie3
㑮	uen2
㑮	xun2
偡	žan2
偌	re2
偌	ro3
做	zo2
做	zo3
